"NOME_CONGLOMERADO","CLASSE_","CNPJ","NOME_INSTITUIÇÃO_PARTICIPANTE","TIPO_PARTICIPAÇÃO_","DATA_INÍCIO","ESTADO","ano","mes","tipo"
"DIDIER LEVY                                                 ","Privado Nacional com Participação Estrangeira               ","7766057.000000","DIDIER LEVY ASSOCIADOS HOLDING FINANCEIRA S/A                                                                                                                                                           ","HOLDING NÃO IF                                              ","40527.000000","SP","2011","07","conglomerados"
"ECONOMICO                                                   ","Privado Nacional                                            ","15124464.000000","BANCO ECONÔMICO S.A.                                                                                                                                                                                    ","LIDER/HOLDING                                               ","32295.000000","SP","2011","07","conglomerados"
"ECONOMICO                                                   ","Privado Nacional                                            ","15102080.000000","ECONÔMICO S.A. ARRENDAMENTO MERCANTIL-ECONLEASING                                                                                                                                                       ","PARTICIPANTE                                                ","32295.000000","SP","2011","07","conglomerados"
"FATOR                                                       ","Privado Nacional                                            ","33644196.000000","BANCO FATOR S.A.                                                                                                                                                                                        ","LIDER                                                       ","34330.000000","SP","2011","07","conglomerados"
"FATOR                                                       ","Privado Nacional                                            ","63062749.000000","FATOR S.A. - CORRETORA DE VALORES                                                                                                                                                                       ","PARTICIPANTE                                                ","36220.000000","SP","2011","07","conglomerados"
"FATOR                                                       ","Privado Nacional                                            ","27907641.000000","FATOR EMPREENDIMENTOS E PARTICIPACOES LTDA                                                                                                                                                              ","HOLDING NÃO IF                                              ","34330.000000","SP","2011","07","conglomerados"
"FIBRA                                                       ","Privado Nacional                                            ","58616418.000000","BANCO FIBRA S.A.                                                                                                                                                                                        ","LIDER/HOLDING                                               ","32295.000000","SP","2011","07","conglomerados"
"FIBRA                                                       ","Privado Nacional                                            ","11434526.000000","CREDIFIBRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO                                                                                                                                                 ","PARTICIPANTE                                                ","40157.000000","SP","2011","07","conglomerados"
"FIBRA                                                       ","Privado Nacional                                            ","30711501.000000","FIBRA ASSET MANAGEMENT DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.                                                                                                                             ","PARTICIPANTE                                                ","32295.000000","SP","2011","07","conglomerados"
"GAZIN                                                       ","Privado Nacional                                            ","11760553.000000","GAZINCRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO                                                                                                                                       ","LIDER                                                       ","40254.000000","PR","2011","07","conglomerados"
